GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,INTENSITY_
Alphabet Inc,3,Citigroup Inc,Wells Fargo And Company,2.9
Alphabet Inc,3,Jp Morgan Chase And Co,Netflix Inc,8.6
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.8
Alphabet Inc,3,Jp Morgan Chase And Co,Linkedin Corp,1.8
Morgan Stanley International Holdings Inc,3,Citigroup Inc,Axa Sa,0.7
Goldman Sachs Group Inc,3,Bank Of America Corp,Mastercard Inc,1.1
Goldman Sachs Group Inc,3,Mastercard Inc,Amazon Com Inc,1.5
Coca-Cola Company,3,Bank Of America Corp,Oasis Petroleum Inc,4.4
Coca-Cola Company,3,Bank Of America Corp,International Flavors And Fragrances Inc,11.5
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Mbia Inc,1.6
Pepsico Inc,3,Bank Of America Corp,Pimco Dynamic Credit Income Fun,2.8
Pepsico Inc,3,Deutsche Bank,Jp Morgan Chase And Co,18.4
Microsoft Corp,3,Sandp Global Inc,Exxon Mobil Corp,4.0
Morgan Stanley International Holdings Inc,3,Federal Home Loan Mortgage Corp,Allstate Corp,0.6
Goldman Sachs Group Inc,3,Bank Of America Corp,Bank Of New York Mellon Corp,2.1
Pepsico Inc,3,Jp Morgan Chase And Co,Amc Entertainment Inc,5.9
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Oasis Petroleum Inc,0.5
Microsoft Corp,3,Bank Of America Corp,Ubs Group Ag,5.6
Microsoft Corp,3,Atandt Inc,Thomson Reuters Corp,1.4
Coca-Cola Company,3,Bank Of America Corp,Federal Home Loan Mortgage Corp,5.3
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Us Bancorp,18.9
Coca-Cola Company,1,Coca-Cola Company,Barclays Plc,0.6
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Moodys Corp /De/,3.2
Morgan Stanley International Holdings Inc,1,Morgan Stanley International Holdings Inc,Atandt Inc,1.5
Microsoft Corp,2,Oracle Corp,Hsbc Holdings Plc,0.6
Microsoft Corp,2,Amex Global Holdings Cv,Vanguard Group,2.9
Goldman Sachs Group Inc,2,Morgan Stanley International Holdings Inc,Intercontinental Exchange,1.4
Microsoft Corp,2,Cisco Systems Inc,Broadcom Ltd,2.4
Microsoft Corp,2,Atandt Inc,Bnp Paribas,2.0
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Ambac Financial Group Inc,1.0
Jp Morgan Chase And Co,2,Federal Home Loan Mortgage Corp,Philip Morris International Inc,5.5
Pepsico Inc,2,Jp Morgan Chase And Co,Mastercard Inc,5.7
Coca-Cola Company,2,Nrg Energy,Comerica Inc /New/,0.8
Coca-Cola Company,2,Nrg Energy,Facebook Inc,4.3
Pepsico Inc,2,Wells Fargo And Company,Virgin America Inc,1.1
Pepsico Inc,2,Wells Fargo And Company,Cold Spring Capital Inc,0.8
Coca-Cola Company,2,Intercontinental Exchange,Caterpillar Inc,1.8
Coca-Cola Company,2,Intercontinental Exchange,Federal National Mortgage Association,66.5
Jp Morgan Chase And Co,3,Bank Of America Corp,Intercontinental Exchange,7.6
Jp Morgan Chase And Co,3,Federal Home Loan Mortgage Corp,Philip Morris International Inc,0.7
Goldman Sachs Group Inc,3,Bank Of America Corp,Wells Fargo And Company,2.1
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Aon Plc,4.2
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Ambac Financial Group Inc,1.6
Pepsico Inc,3,Deutsche Bank,Netflix Inc,2.9
