GRAPH,NODE_DISTANCE,STARTING_NODE,ENDING_NODE,IEVENT,INTENSITY
Goldman Sachs Group Inc,3,Mastercard Inc,Ipsco Inc,,29
Coca-Cola Company,1,Coca-Cola Company,Uniti Group Inc,,960
Microsoft Corp,3,Phh Corp,Era Group Inc,,2
Alphabet Inc,3,Formfactor Inc,Leggett And Platt Inc,,85
Coca-Cola Company,3,Monster Beverage Corp,Citigroup Inc,,13524
Coca-Cola Company,1,Coca-Cola Company,Bandg Foods Inc,,36
Alphabet Inc,1,Alphabet Inc,Atandt Inc,,392
Microsoft Corp,2,Nextera Energy,Philip Morris International Inc,,162
Microsoft Corp,1,Microsoft Corp,Alphabet Inc,,1260
Alphabet Inc,2,Southern Company,Dcp Midstream Lp,,462
Alphabet Inc,3,Polycom Inc,Rmx Holdings Inc,,1
Microsoft Corp,3,Agilent Technologies Inc,Shimadzu Corp,,21
Microsoft Corp,1,Microsoft Corp,Google,,90
Microsoft Corp,3,Global Indemnity Ltd,Rli Corp,,16
Jp Morgan Chase And Co,2,Smtc Corp,Iec Electronics Corp,,16
Alphabet Inc,1,Alphabet Inc,Banco Santander Sa,,392
Microsoft Corp,2,Federal National Mortgage Association,Philip Morris International Inc,,8748
Microsoft Corp,1,Microsoft Corp,Adobe Inc,,150
Microsoft Corp,1,Microsoft Corp,Linkedin Corp,,2940
Microsoft Corp,2,Sandp Global Inc,Thomson Reuters Corp,,464
Microsoft Corp,3,Digital River Inc /De,Microsoft Corp,,7470
Jp Morgan Chase And Co,3,Tenet Healthcare Corp,Vanguard Group,,98838
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Usa Capital Management Inc,,229.5
Microsoft Corp,2,Altaba Inc,Mitsubishi Ufj Financial Group Inc,,130
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Us Bancorp,,8800
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Fair Isaac Corp,,384
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Sandp Global Inc,,17671.5
Goldman Sachs Group Inc,3,Barnes Group Inc,Nucor Corp,,16
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Gsx Techedu Inc,,256
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Federal National Mortgage Association,,8078.4
Jp Morgan Chase And Co,3,Dominion Energy Inc,Wec Energy Group Inc,,108
Goldman Sachs Group Inc,3,Microsoft Corp,Salesforce Com Inc,,240
Goldman Sachs Group Inc,3,Lions Gate Entertainment Corp /Cn/,Verizon Communications Inc,,3133
Goldman Sachs Group Inc,3,Exxon Mobil Corp,Imperial Oil Ltd,,240
Jp Morgan Chase And Co,3,Perkinelmer Inc,Tibco Software Inc,,6
Jp Morgan Chase And Co,2,Msa Safety Inc,United Rentals Inc /De,,108
Jp Morgan Chase And Co,2,Chase Corp,American Biltrite Inc,,8
Jp Morgan Chase And Co,2,Starbucks Corp,Pepsico Inc,,858
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Fair Isaac Corp,Corporate,2244
Goldman Sachs Group Inc,3,Mastercard Inc,Aluminum Corp Of China Ltd,Corporate,1485
Goldman Sachs Group Inc,3,Barnes Group Inc,Commonwealth Bank Of Australia,,96
Goldman Sachs Group Inc,2,Ecolab Inc,Halliburton Company,,165
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Vanguard Group,,9792
Goldman Sachs Group Inc,3,Sherwin-Williams Company,Rait Financial Trust,,42
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Fair Isaac Corp,Financing,512
Goldman Sachs Group Inc,3,Weatherford International Plc,Nabors Industries,,84
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Biotelemetry Inc,,1536
Jp Morgan Chase And Co,2,Amazon Com Inc,Kelly Services Inc,,39
